,hash,displayProperties.name
-2140775467,2154191829,Carbon Arrow Shaft
-2115052566,2179914730,Banshee's Wail
-2115032855,2179934441,MIDA Synergy
-2112534393,2182432903,Stolen Goods
-2108434986,2186532310,Poison Arrows
-2105137756,2189829540,Adaptive Frame
-2102289282,2192678014,Roving Assassin
-2102289281,2192678015,Double Dodge
-2101848903,2193118393,Longview SLR10
-2101848900,2193118396,Ambush SLH25
-2101848899,2193118397,EagleEye SLR20
-2101848898,2193118398,Shortgaze SLH10
-2101848897,2193118399,Longview SLR20
-2099661792,2195305504,MIDA Tactical
-2095264068,2199703228,Synesthesia
-2094398088,2200569208,Eyes on All
-2090254148,2204713148,Crystalline Transistor
-2090254147,2204713149,Battle-Hearth
-2085686990,2209280306,IS 5 Circle
-2085686989,2209280307,IS 2 Classic
-2081611307,2213355989,High-Impact Reserves
-2081590194,2213377102,MIDA Synergy
-2071052911,2223914385,Thunderer
-2056932198,2238035098,Storm and Stress
-2053807098,2241160198,Wrath Majestic
-2051237979,2243729317,Last Hand
-2050115474,2244851822,Flash Counter
-2043250410,2251716886,Qingming Offering
-2037475203,2257492093,Baikonur
-2033476064,2261491232,Pyrotoxin Rounds
-2027306671,2267660625,Foundational Structure
-2022194512,2272772784,Dreamchaser
-2021484073,2273483223,Solar Damage Mod
-2010180013,2284787283,Clown Cartridge
-2007267366,2287699930,Broadhead
-2007115076,2287852220,Heavy Warlock Armor
-1995200548,2299766748,Adept Projectile Speed
-1992176915,2302790381,The Bunker
-1988525868,2306441428,Supercharged Battery
-1987824161,2307143135,Harsh Truths
-1975701618,2319265678,Doubt
-1970981195,2323986101,Empty Mod Socket
-1961359989,2333607307,Impetus
-1947372925,2347594371,Objective Reality
-1945764329,2349202967,Heavy Guard
-1941489816,2353477480,Rapid-Fire Frame
-1939925592,2355041704,Solar Rampart
-1938418749,2356548547,Reef in Ruins
-1934212963,2360754333,Trench Barrel
-1931215306,2363751990,Infinite Guard
-1911006883,2383960413,Cruel Remedy
-1907722882,2387244414,Zen Moment
-1898477824,2396489472,Chain Reaction
-1898079139,2396888157,Sudden Squall
-1895321268,2399646028,Leviathan's Sigh
-1890450658,2404516638,Cyberintellect
-1889329282,2405638014,Red Dot Micro
-1889329281,2405638015,Red Dot 2 MOA
-1885655201,2409312095,Hypnopompic
-1884682988,2410284308,TrueSight IS
-1884682986,2410284310,Fastdraw IS
-1884682985,2410284311,Quickdraw IS
-1882478643,2412488653,Mind of Its Own
-1880241456,2414725840,Satou Focus Lens
-1880241455,2414725841,Satou Precision Lens
-1878161322,2416805974,Meteoric Descent
-1874072196,2420895100,Extended Mag
-1869649706,2425317590,Positive Infinity
-1861067001,2433900295,Carina Nebula
-1844178773,2450788523,Killing Wind
-1836753327,2458213969,Multikill Clip
-1826999470,2467967826,Chambered Compensator
-1821562361,2473404935,Mad Scientist
-1821302347,2473664949,Plunderer
-1812548634,2482418662,Longest Winter
-1812363319,2482603977,Standard Bearer
-1803149517,2491817779,Prototype Trueseeker
-1794464314,2500502982,Firewalker
-1784043580,2510923716,Random Damage Type
-1782429635,2512537661,Shapeshifter
-1779661390,2515305906,Kingmaker
-1779589325,2515377971,Guardian Angel
-1778434965,2516532331,Arc Conductor
-1778083321,2516883975,Glory and Grandeur
-1776251234,2518716062,Aggressive Frame
-1766651569,2528315727,Hasta Solari
-1761917176,2533050120,"Beggar, to Be Fed"
-1754430643,2540536653,Ravenous Beast
