,hash,reusablePlugItems
-2144995376,2149971920,"[{'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1168162263}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2846385770}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 280464955}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1631667848}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1645158859}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 588594999}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2010801679}]"
-2135381109,2159586187,"[{'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 360593483}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 360593482}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 965619221}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 965619220}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 965619223}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3151536501}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3151536500}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3151536503}]"
-2133255389,2161711907,"[{'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1316177012}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2760701299}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 673846245}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3416944458}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 310410239}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3317098328}]"
-2132971979,2161995317,"[{'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 957782887}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 4071163871}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 972757866}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2869569095}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3300816228}]"
-2132356317,2162610979,"[{'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3686266706}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3686266706}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3686266706}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1097155916}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1097155916}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1097155916}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3838406119}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3838406119}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3838406119}]"
-2128031452,2166935844,"[{'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3425386926}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2213355989}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1683379515}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1600092898}]"
-2126295943,2168671353,"[{'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1546637391}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3275789089}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 957782887}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2360754333}]"
-2106996657,2187970639,"[{'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2450788523}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 205890336}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1556840489}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 588594999}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2010801679}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3436462433}]"
-2105351478,2189615818,"[{'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1168162263}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 4267945040}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 247725512}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1631667848}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2387244414}]"
-2091340791,2203626505,"[{'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 702981643}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2757833801}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 419571946}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2964562738}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 226677827}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 58406714}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1370302135}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2858342979}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1956760753}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1810019708}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3333986015}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 207838333}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2731297685}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3856855806}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3110827848}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 995614939}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3654718868}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2984447248}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3044759626}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3980640404}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3946152673}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1011670904}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1011670905}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3504728132}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3005747976}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2020305635}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 4135965162}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 4091208110}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 622828435}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2547166766}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 519581357}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 293824100}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 413332433}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3095331892}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2889842501}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3813397082}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 547804116}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1019186287}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3352318036}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1185244198}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2164210804}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3323147154}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2038334920}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 4179399763}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3138706543}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2426456324}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3026479209}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 204059183}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3574120120}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3416263037}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3612254098}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2989159626}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 4126963847}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1322519316}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3617024265}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 4240041208}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2814122105}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1452333832}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 699589438}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 940003738}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1721943440}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 4100217959}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 4100217958}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2970562833}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2122810492}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1438999858}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 4266990318}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3489978604}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1039402698}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3026807258}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3619376218}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1367655773}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 489480785}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2772485446}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 4134090375}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3176347031}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2401694485}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1519285164}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3104384024}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 234970842}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1862324869}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1561249470}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 936010065}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1829417670}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 533855986}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 197764097}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3730575552}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 756445218}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1890196228}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2085872226}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 337692872}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1009385327}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3551208252}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2602559881}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2351038408}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2914474757}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 4110287116}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1577514344}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3104459624}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1210111349}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3084633087}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 674876967}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2808362207}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 671423576}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1781294872}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 64543269}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 64543268}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2537874394}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3395856235}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2769298993}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 4235761196}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1402082511}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 641063251}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 4086100104}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 2804094976}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 469005214}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 825561686}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 195370644}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1539437665}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 399547095}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3740338778}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 610443345}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1634414641}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3128930155}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 3065200837}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 4219498878}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1053383550}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 4194052805}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 88132800}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1522478103}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 170603856}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 1248864692}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 4012977684}, {'weight': 0.0, 'alternateWeight': 0.0, 'currentlyCanRoll': True, 'plugItemHash': 4012977685}]"
