,hash,displayProperties.name
-1829672231,2465295065,Energy Weapons
-1010212265,3284755031,Subclass
-846692857,3448274439,Helmet
-743048708,3551918588,Gauntlets
-611713227,3683254069,
-271772482,4023194814,Ghost
-20632005,4274335291,Emblems
-2521334,4292445962,Clan Banners
14239492,14239492,Chest Armor
18606351,18606351,Shaders
20886954,20886954,Leg Armor
284967655,284967655,Ships
953998645,953998645,Power Weapons
1107761855,1107761855,Emotes
1269569095,1269569095,Auras
1498876634,1498876634,Kinetic Weapons
1506418338,1506418338,Seasonal Artifact
1585787867,1585787867,Class Armor
2025709351,2025709351,Vehicle
