,itemTypeDisplayName,displayProperties.name,defaultDamageTypeHash,equippingBlock.equipmentSlotTypeHash,equippingBlock.ammoType,sockets.socketEntries.0.singleInitialItemHash,sockets.socketEntries.1.randomizedPlugSetHash,sockets.socketEntries.2.randomizedPlugSetHash,sockets.socketEntries.3.randomizedPlugSetHash,sockets.socketEntries.4.randomizedPlugSetHash
-2130518595,Sniper Rifle,Apostate,Arc,Energy,Special,Rapid-Fire Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Lead from Gold', 'Killing Wind', 'No Distractions', 'Outlaw', 'Firmly Planted', 'Surplus']","['Quickdraw', 'Explosive Payload', 'Kill Clip', 'Opening Shot', 'Wellspring', 'Thresh']"
-2123488531,Hand Cannon,Fatebringer,Kinetic,Kinetic,Primary,Adaptive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Rewind Rounds', 'Killing Wind', 'Tunnel Vision', 'Osmosis', 'Thresh', 'Explosive Payload', 'Explosive Payload']","['Eye of the Storm', 'Kill Clip', 'Frenzy', 'Opening Shot', 'Adrenaline Junkie', 'Firefly', 'Firefly']"
-2095795624,Sidearm,Lonesome,Kinetic,Kinetic,Primary,Precision Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Outlaw', 'Full Auto Trigger System', 'Rapid Hit', 'Grave Robber', 'Zen Moment']","['Swashbuckler', 'Demolitionist', 'Kill Clip', 'Slideshot', 'Opening Shot', 'Multikill Clip']"
-2085964086,Fusion Rifle,Zealot's Reward,Void,Energy,Special,Rapid-Fire Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accelerated Coils', 'Enhanced Battery', 'Ionized Battery', 'Liquid Coils', 'Particle Repeater', 'Projection Fuse']","['Feeding Frenzy', 'Under Pressure', 'Shield Disorient', 'Auto-Loading Holster']","['Rampage', 'High-Impact Reserves', 'Disruption Break', 'Backup Plan']"
-2074083034,Hand Cannon,The Steady Hand,Kinetic,Kinetic,Primary,Aggressive Frame,"['Fastdraw HCS', 'SteadyHand HCS', 'TrueSight HCS', 'HitMark HCS', 'Crossfire HCS', 'Sureshot HCS']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Killing Wind', 'Zen Moment', 'Outlaw', 'Quickdraw', 'Slideshot', 'Moving Target']","['Iron Grip', 'Iron Gaze', 'Swashbuckler', 'Wellspring', 'Mulligan', 'Snapshot Sights']"
-2072406748,Submachine Gun,IKELOS_SMG_v1.0.2,Arc,Energy,Primary,Aggressive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Seraph Rounds', 'Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Threat Detector', 'Subsistence', 'Grave Robber', 'Pulse Monitor', 'Dynamic Sway Reduction']","['Tap the Trigger', 'Disruption Break', 'Surrounded', 'Vorpal Weapon', 'Demolitionist']"
-2037786823,Grenade Launcher,Interference VI,Arc,Power,Heavy,Adaptive Frame,"['Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control']","['Thermoplastic Grenades', 'Proximity Grenades', 'Spike Grenades', 'Alloy Casing', 'Augmented Drum', 'High-Explosive Ordnance', 'High-Velocity Rounds', 'Mini Frags']","['Field Prep', 'Auto-Loading Holster', 'Clown Cartridge', 'Grave Robber']","['Full Court', 'Demolitionist', 'Swashbuckler', 'Threat Detector']"
-2022496510,Submachine Gun,Stochastic Variable,Arc,Energy,Primary,Lightweight Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag', 'Phase Magazine']","['Under Pressure', 'Zen Moment', 'Killing Wind', 'Surplus', 'Ambitious Assassin', 'Feeding Frenzy']","['Unrelenting', 'Dragonfly', 'Multikill Clip', 'Wellspring', 'Elemental Capacitor', 'Quickdraw']"
-1943786321,Hand Cannon,Igneous Hammer,Solar,Energy,Primary,Aggressive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Quickdraw', 'Killing Wind', 'Outlaw', 'Rapid Hit', 'Subsistence']","['Celerity', 'Rampage', 'One for All', 'Snapshot Sights', 'Moving Target', 'Celerity']"
-1932495696,Sidearm,Drang,Solar,Energy,Primary,Together Forever,['Static'],['Static'],['Static'],['Static']
